 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    30.000  kK,    Logg :    4.250 cm/s^2
 Reff :     4.933  R0,    L    :  1.779E+04 L0 
 Mdot :  4.518E-09 M0/yr,  Vinf :  2720.000 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 7.85110E+16  7.49292E-57
 7.84979E+16  7.68044E-57
 7.84848E+16  7.87359E-57
 7.84717E+16  8.07112E-57
 7.84586E+16  8.27302E-57
 7.84456E+16  8.47868E-57
 7.84325E+16  8.68996E-57
 7.84194E+16  8.90811E-57
 7.84063E+16  9.13189E-57
 7.83932E+16  9.36068E-57
 7.83802E+16  9.59383E-57
 7.83671E+16  9.83199E-57
 7.83540E+16  1.00777E-56
 7.83410E+16  1.03302E-56
 7.83279E+16  1.05896E-56
 7.83148E+16  1.08540E-56
 7.83018E+16  1.11234E-56
 7.82887E+16  1.14003E-56
 7.82756E+16  1.16847E-56
 7.82626E+16  1.19779E-56
 7.82495E+16  1.22780E-56
 7.82365E+16  1.25836E-56
 7.82234E+16  1.28955E-56
 7.82104E+16  1.32162E-56
 7.81973E+16  1.35469E-56
 7.81843E+16  1.38857E-56
 7.81713E+16  1.42332E-56
 7.81582E+16  1.45864E-56
 7.81452E+16  1.49477E-56
 7.81322E+16  1.53203E-56
 7.81191E+16  1.57028E-56
 7.81061E+16  1.60954E-56
 7.80931E+16  1.64967E-56
 7.80800E+16  1.69055E-56
 7.80670E+16  1.73243E-56
 7.80540E+16  1.77556E-56
 7.80410E+16  1.81994E-56
 7.80280E+16  1.86538E-56
 7.80150E+16  1.91177E-56
 7.80019E+16  1.95902E-56
 7.79889E+16  2.00759E-56
 7.79759E+16  2.05760E-56
 7.79629E+16  2.10898E-56
 7.79499E+16  2.16155E-56
 7.79369E+16  2.21512E-56
 7.79239E+16  2.26982E-56
 7.79109E+16  2.32614E-56
 7.78979E+16  2.38408E-56
 7.78849E+16  2.44353E-56
 7.78720E+16  2.50429E-56
 7.78590E+16  2.56617E-56
 7.78460E+16  2.62955E-56
 7.78330E+16  2.69481E-56
 7.78200E+16  2.76195E-56
 7.78070E+16  2.83071E-56
 7.77940E+16  2.90090E-56
 7.77811E+16  2.97248E-56
 7.77681E+16  3.04586E-56
 7.77551E+16  3.12150E-56
 7.77422E+16  3.19919E-56
 7.77292E+16  3.27877E-56
 7.77162E+16  3.35984E-56
 7.77033E+16  3.44254E-56
 7.76903E+16  3.52762E-56
 7.76774E+16  3.61519E-56
 7.76644E+16  3.70514E-56
 7.76514E+16  3.79709E-56
 7.76385E+16  3.89073E-56
 7.76256E+16  3.98643E-56
 7.76126E+16  4.08501E-56
 7.75997E+16  4.18639E-56
 7.75867E+16  4.29041E-56
 7.75738E+16  4.39661E-56
 7.75608E+16  4.50481E-56
 7.75479E+16  4.61564E-56
 7.75350E+16  4.72978E-56
 7.75220E+16  4.84717E-56
 7.75091E+16  4.96744E-56
 7.74962E+16  5.09002E-56
 7.74833E+16  5.21504E-56
 7.74703E+16  5.34337E-56
 7.74574E+16  5.47551E-56
 7.74445E+16  5.61134E-56
 7.74316E+16  5.75030E-56
 7.74187E+16  5.89182E-56
 7.74058E+16  6.03634E-56
 7.73928E+16  6.18492E-56
 7.73799E+16  6.33776E-56
 7.73670E+16  6.49528E-56
 7.73541E+16  6.65530E-56
 7.73412E+16  6.81907E-56
 7.73283E+16  6.98597E-56
 7.73154E+16  7.15787E-56
 7.73025E+16  7.33539E-56
 7.72896E+16  7.51667E-56
 7.72768E+16  7.70169E-56
 7.72639E+16  7.89047E-56
 7.72510E+16  8.08425E-56
 7.72381E+16  8.28303E-56
 7.72252E+16  8.48805E-56
 7.72123E+16  8.69746E-56
 7.71994E+16  8.91186E-56
 7.71866E+16  9.12939E-56
 7.71737E+16  9.35317E-56
 7.71608E+16  9.58383E-56
 7.71480E+16  9.82074E-56
 7.71351E+16  1.00626E-55
 7.71222E+16  1.03096E-55
 7.71094E+16  1.05615E-55
 7.70965E+16  1.08203E-55
 7.70836E+16  1.10872E-55
 7.70708E+16  1.13603E-55
 7.70579E+16  1.16404E-55
 7.70451E+16  1.19248E-55
 7.70322E+16  1.22161E-55
 7.70194E+16  1.25155E-55
 7.70066E+16  1.28243E-55
 7.69937E+16  1.31400E-55
 7.69809E+16  1.34631E-55
 7.69680E+16  1.37913E-55
 7.69552E+16  1.41282E-55
 7.69424E+16  1.44745E-55
 7.69295E+16  1.48308E-55
 7.69167E+16  1.51965E-55
 7.69039E+16  1.55684E-55
 7.68910E+16  1.59478E-55
 7.68782E+16  1.63366E-55
 7.68654E+16  1.67380E-55
 7.68526E+16  1.71499E-55
 7.68398E+16  1.75712E-55
 7.68269E+16  1.80006E-55
 7.68141E+16  1.84388E-55
 7.68013E+16  1.88882E-55
 7.67885E+16  1.93521E-55
 7.67757E+16  1.98278E-55
 7.67629E+16  2.03141E-55
 7.67501E+16  2.08091E-55
 7.67373E+16  2.13155E-55
 7.67245E+16  2.18355E-55
 7.67117E+16  2.23712E-55
 7.66989E+16  2.29207E-55
 7.66861E+16  2.34820E-55
 7.66733E+16  2.40527E-55
 7.66605E+16  2.46372E-55
 7.66477E+16  2.52385E-55
 7.66350E+16  2.58580E-55
 7.66222E+16  2.64918E-55
 7.66094E+16  2.71394E-55
 7.65966E+16  2.77982E-55
 7.65838E+16  2.84733E-55
 7.65711E+16  2.91684E-55
 7.65583E+16  2.98829E-55
 7.65455E+16  3.06155E-55
 7.65328E+16  3.13612E-55
 7.65200E+16  3.21213E-55
 7.65072E+16  3.29014E-55
 7.64945E+16  3.37047E-55
 7.64817E+16  3.45304E-55
 7.64690E+16  3.53749E-55
 7.64562E+16  3.62350E-55
 7.64435E+16  3.71120E-55
 7.64307E+16  3.80128E-55
 7.64180E+16  3.89410E-55
 7.64052E+16  3.98937E-55
 7.63925E+16  4.08682E-55
 7.63797E+16  4.18596E-55
 7.63670E+16  4.28716E-55
 7.63543E+16  4.39124E-55
 7.63415E+16  4.49844E-55
 7.63288E+16  4.60839E-55
 7.63161E+16  4.72066E-55
 7.63033E+16  4.83498E-55
 7.62906E+16  4.95181E-55
 7.62779E+16  5.07208E-55
 7.62652E+16  5.19578E-55
 7.62524E+16  5.32268E-55
 7.62397E+16  5.45207E-55
 7.62270E+16  5.58384E-55
 7.62143E+16  5.71867E-55
 7.62016E+16  5.85756E-55
 7.61889E+16  6.00040E-55
 7.61762E+16  6.14667E-55
 7.61635E+16  6.29587E-55
 7.61508E+16  6.44777E-55
 7.61381E+16  6.60342E-55
 7.61254E+16  6.76344E-55
 7.61127E+16  6.92846E-55
 7.61000E+16  7.09724E-55
 7.60873E+16  7.26913E-55
 7.60746E+16  7.44416E-55
 7.60619E+16  7.62356E-55
 7.60492E+16  7.80921E-55
 7.60365E+16  7.99924E-55
 7.60238E+16  8.19364E-55
 7.60112E+16  8.39179E-55
 7.59985E+16  8.59369E-55
 7.59858E+16  8.80060E-55
 7.59732E+16  9.01438E-55
 7.59605E+16  9.23378E-55
 7.59478E+16  9.45756E-55
 7.59351E+16  9.68572E-55
 7.59225E+16  9.91825E-55
 7.59098E+16  1.01577E-54
 7.58972E+16  1.04033E-54
 7.58845E+16  1.06559E-54
 7.58718E+16  1.09140E-54
 7.58592E+16  1.11766E-54
 7.58465E+16  1.14453E-54
 7.58339E+16  1.17216E-54
 7.58212E+16  1.20060E-54
 7.58086E+16  1.22967E-54
 7.57960E+16  1.25936E-54
 7.57833E+16  1.28962E-54
 7.57707E+16  1.32068E-54
 7.57580E+16  1.35256E-54
 7.57454E+16  1.38532E-54
 7.57328E+16  1.41888E-54
 7.57201E+16  1.45301E-54
 7.57075E+16  1.48789E-54
 7.56949E+16  1.52371E-54
 7.56822E+16  1.56053E-54
 7.56696E+16  1.59828E-54
 7.56570E+16  1.63685E-54
 7.56444E+16  1.67617E-54
 7.56318E+16  1.71636E-54
 7.56192E+16  1.75768E-54
 7.56066E+16  1.80019E-54
 7.55939E+16  1.84369E-54
 7.55813E+16  1.88807E-54
 7.55687E+16  1.93327E-54
 7.55561E+16  1.97965E-54
 7.55435E+16  2.02734E-54
 7.55309E+16  2.07635E-54
 7.55183E+16  2.12642E-54
 7.55057E+16  2.17749E-54
 7.54931E+16  2.22956E-54
 7.54805E+16  2.28307E-54
 7.54680E+16  2.33807E-54
 7.54554E+16  2.39452E-54
 7.54428E+16  2.45215E-54
 7.54302E+16  2.51085E-54
 7.54176E+16  2.57086E-54
 7.54050E+16  2.63255E-54
 7.53925E+16  2.69600E-54
 7.53799E+16  2.76101E-54
 7.53673E+16  2.82727E-54
 7.53548E+16  2.89484E-54
 7.53422E+16  2.96404E-54
 7.53296E+16  3.03523E-54
 7.53170E+16  3.10831E-54
 7.53045E+16  3.18313E-54
 7.52919E+16  3.25933E-54
 7.52794E+16  3.33709E-54
 7.52668E+16  3.41685E-54
 7.52543E+16  3.49892E-54
 7.52417E+16  3.58312E-54
 7.52292E+16  3.66920E-54
 7.52166E+16  3.75683E-54
 7.52041E+16  3.84635E-54
 7.51915E+16  3.93836E-54
 7.51790E+16  4.03294E-54
 7.51664E+16  4.12989E-54
 7.51539E+16  4.22884E-54
 7.51414E+16  4.32960E-54
 7.51288E+16  4.43268E-54
 7.51163E+16  4.53882E-54
 7.51038E+16  4.64777E-54
 7.50913E+16  4.75935E-54
 7.50787E+16  4.87305E-54
 7.50662E+16  4.98894E-54
 7.50537E+16  5.10783E-54
 7.50412E+16  5.23010E-54
 7.50287E+16  5.35562E-54
 7.50162E+16  5.48395E-54
 7.50036E+16  5.61459E-54
 7.49911E+16  5.74792E-54
 7.49786E+16  5.88494E-54
 7.49661E+16  6.02584E-54
 7.49536E+16  6.17029E-54
 7.49411E+16  6.31775E-54
 7.49286E+16  6.46777E-54
 7.49161E+16  6.62154E-54
 7.49036E+16  6.77969E-54
 7.48911E+16  6.94159E-54
 7.48786E+16  7.10786E-54
 7.48662E+16  7.27726E-54
 7.48537E+16  7.44978E-54
 7.48412E+16  7.62668E-54
 7.48287E+16  7.80858E-54
 7.48162E+16  7.99549E-54
 7.48038E+16  8.18676E-54
 7.47913E+16  8.38116E-54
 7.47788E+16  8.57994E-54
 7.47663E+16  8.78372E-54
 7.47538E+16  8.99312E-54
 7.47414E+16  9.20815E-54
 7.47289E+16  9.42756E-54
 7.47165E+16  9.65134E-54
 7.47040E+16  9.87950E-54
 7.46915E+16  1.01145E-53
 7.46791E+16  1.03558E-53
 7.46666E+16  1.06027E-53
 7.46542E+16  1.08553E-53
 7.46417E+16  1.11122E-53
 7.46293E+16  1.13747E-53
 7.46168E+16  1.16454E-53
 7.46044E+16  1.19229E-53
 7.45919E+16  1.22073E-53
 7.45795E+16  1.24974E-53
 7.45671E+16  1.27924E-53
 7.45546E+16  1.30949E-53
 7.45422E+16  1.34056E-53
 7.45298E+16  1.37257E-53
 7.45173E+16  1.40520E-53
 7.45049E+16  1.43851E-53
 7.44925E+16  1.47245E-53
 7.44800E+16  1.50727E-53
 7.44676E+16  1.54309E-53
 7.44552E+16  1.57978E-53
 7.44428E+16  1.61735E-53
 7.44304E+16  1.65561E-53
 7.44180E+16  1.69461E-53
 7.44056E+16  1.73468E-53
 7.43931E+16  1.77587E-53
 7.43807E+16  1.81813E-53
 7.43683E+16  1.86126E-53
 7.43559E+16  1.90514E-53
 7.43435E+16  1.94996E-53
 7.43311E+16  1.99609E-53
 7.43187E+16  2.04353E-53
 7.43063E+16  2.09210E-53
 7.42939E+16  2.14155E-53
 7.42815E+16  2.19199E-53
 7.42692E+16  2.24356E-53
 7.42568E+16  2.29663E-53
 7.42444E+16  2.35114E-53
 7.42320E+16  2.40696E-53
 7.42196E+16  2.46378E-53
 7.42072E+16  2.52166E-53
 7.41949E+16  2.58098E-53
 7.41825E+16  2.64205E-53
 7.41701E+16  2.70475E-53
 7.41578E+16  2.76882E-53
 7.41454E+16  2.83402E-53
 7.41330E+16  2.90053E-53
 7.41206E+16  2.96879E-53
 7.41083E+16  3.03898E-53
 7.40959E+16  3.11106E-53
 7.40836E+16  3.18457E-53
 7.40712E+16  3.25939E-53
 7.40589E+16  3.33584E-53
 7.40465E+16  3.41435E-53
 7.40342E+16  3.49511E-53
 7.40218E+16  3.57787E-53
 7.40095E+16  3.66226E-53
 7.39971E+16  3.74815E-53
 7.39848E+16  3.83597E-53
 7.39724E+16  3.92623E-53
 7.39601E+16  4.01906E-53
 7.39478E+16  4.11407E-53
 7.39354E+16  4.21090E-53
 7.39231E+16  4.30947E-53
 7.39108E+16  4.41043E-53
 7.38984E+16  4.51431E-53
 7.38861E+16  4.62095E-53
 7.38738E+16  4.73003E-53
 7.38615E+16  4.84111E-53
 7.38492E+16  4.95425E-53
 7.38368E+16  5.07027E-53
 7.38245E+16  5.18966E-53
 7.38122E+16  5.31218E-53
 7.37999E+16  5.43738E-53
 7.37876E+16  5.56477E-53
 7.37753E+16  5.69467E-53
 7.37630E+16  5.82806E-53
 7.37507E+16  5.96520E-53
 7.37384E+16  6.10591E-53
 7.37261E+16  6.24956E-53
 7.37138E+16  6.39589E-53
 7.37015E+16  6.54466E-53
 7.36892E+16  6.69843E-53
 7.36769E+16  6.85595E-53
 7.36646E+16  7.01722E-53
 7.36523E+16  7.18225E-53
 7.36401E+16  7.34977E-53
 7.36278E+16  7.52104E-53
 7.36155E+16  7.69732E-53
 7.36032E+16  7.87797E-53
 7.35909E+16  8.06362E-53
 7.35787E+16  8.25240E-53
 7.35664E+16  8.44492E-53
 7.35541E+16  8.64120E-53
 7.35419E+16  8.84373E-53
 7.35296E+16  9.05188E-53
 7.35173E+16  9.26441E-53
 7.35051E+16  9.48069E-53
 7.34928E+16  9.70135E-53
 7.34806E+16  9.92763E-53
 7.34683E+16  1.01595E-52
 7.34560E+16  1.03983E-52
 7.34438E+16  1.06421E-52
 7.34315E+16  1.08909E-52
 7.34193E+16  1.11440E-52
 7.34070E+16  1.14035E-52
 7.33948E+16  1.16704E-52
 7.33826E+16  1.19442E-52
 7.33703E+16  1.22236E-52
 7.33581E+16  1.25086E-52
 7.33459E+16  1.27987E-52
 7.33336E+16  1.30968E-52
 7.33214E+16  1.34031E-52
 7.33092E+16  1.37175E-52
 7.32969E+16  1.40382E-52
 7.32847E+16  1.43645E-52
 7.32725E+16  1.46977E-52
 7.32603E+16  1.50396E-52
 7.32480E+16  1.53909E-52
 7.32358E+16  1.57516E-52
 7.32236E+16  1.61191E-52
 7.32114E+16  1.64935E-52
 7.31992E+16  1.68755E-52
 7.31870E+16  1.72680E-52
 7.31748E+16  1.76718E-52
 7.31626E+16  1.80850E-52
 7.31504E+16  1.85069E-52
 7.31382E+16  1.89351E-52
 7.31260E+16  1.93739E-52
 7.31138E+16  1.98246E-52
 7.31016E+16  2.02872E-52
 7.30894E+16  2.07616E-52
 7.30772E+16  2.12442E-52
 7.30650E+16  2.17361E-52
 7.30528E+16  2.22387E-52
 7.30406E+16  2.27557E-52
 7.30285E+16  2.32870E-52
 7.30163E+16  2.38302E-52
 7.30041E+16  2.43834E-52
 7.29919E+16  2.49466E-52
 7.29798E+16  2.55229E-52
 7.29676E+16  2.61155E-52
 7.29554E+16  2.67237E-52
 7.29432E+16  2.73457E-52
 7.29311E+16  2.79795E-52
