 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.40 Teff 37.15 logg 3.40 R/R0 23.56 R 1.6386E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 2.49009610E+02 1.84086330E-07
 2.49478640E+02 4.52828200E-07
 2.49834420E+02 1.28268090E-07
 2.49837540E+02 1.68270420E-07
 2.49948550E+02 3.02834470E-08
 2.50419340E+02 1.53669400E-08
 2.50891020E+02 2.86868620E-07
 2.51363590E+02 5.31761250E-07
 2.51553820E+02 7.72543820E-07
 2.51837050E+02 1.13549720E-06
 2.52311400E+02 1.28254600E-06
 2.52786650E+02 6.50968570E-07
 2.53262790E+02 1.64517470E-06
 2.53297040E+02 1.54932130E-06
 2.53300250E+02 1.74667970E-06
 2.53739830E+02 3.33096570E-07
 2.54217760E+02 1.70284690E-06
 2.54600830E+02 2.46219280E-06
 2.54604070E+02 2.74107850E-06
 2.54696600E+02 2.94654690E-06
 2.55176340E+02 2.21544800E-08
 2.55656980E+02 3.91189600E-07
 2.56138530E+02 8.44037820E-07
 2.56620980E+02 1.12652660E-06
 2.56735220E+02 1.83703210E-06
 2.57104340E+02 4.15805080E-06
 2.57588620E+02 3.07803850E-06
 2.58073800E+02 3.73255330E-06
 2.58559900E+02 1.61582710E-06
 2.58905710E+02 1.74780120E-06
 2.58909060E+02 1.88970550E-06
 2.59046920E+02 1.94696380E-06
 2.59534850E+02 7.81385540E-07
 2.60023700E+02 1.73841570E-06
 2.60513470E+02 2.96629970E-06
 2.61004170E+02 6.20573590E-06
 2.61010740E+02 6.12426590E-06
 2.61014140E+02 2.23449260E-07
 2.61378120E+02 8.67837490E-06
 2.61381530E+02 1.67553600E-05
 2.61495790E+02 4.46790370E-07
 2.61988330E+02 1.07027000E-05
 2.62481800E+02 7.10489910E-08
 2.62976210E+02 4.82030740E-08
 2.63471540E+02 3.55993260E-06
 2.63967810E+02 2.96257590E-05
 2.64465010E+02 8.64156270E-06
 2.64575530E+02 7.78206290E-06
 2.64963150E+02 4.75200760E-06
 2.65462220E+02 1.46916710E-08
 2.65962240E+02 1.85495930E-07
 2.66463200E+02 7.57938710E-07
 2.66965100E+02 4.52587230E-06
 2.67467940E+02 9.34780320E-06
 2.67852140E+02 8.22302390E-06
 2.67971740E+02 7.87106100E-06
 2.68476480E+02 1.17377450E-05
 2.68982170E+02 1.28471330E-05
 2.69488820E+02 3.11647390E-06
 2.69996420E+02 2.19317990E-06
 2.70504980E+02 4.20781340E-06
 2.71014490E+02 1.84831210E-06
 2.71210930E+02 1.75958390E-06
 2.71524960E+02 1.61699320E-06
 2.72036400E+02 3.78628690E-06
 2.72548800E+02 1.41454450E-05
 2.72922110E+02 5.55044760E-05
 2.73062160E+02 7.10994890E-05
 2.73576490E+02 1.24436400E-05
 2.74091790E+02 7.00161340E-07
 2.74608060E+02 4.99020710E-05
 2.74655030E+02 4.75547770E-05
 2.74658800E+02 4.87271740E-05
 2.75125310E+02 2.46145820E-05
 2.75643520E+02 6.26521530E-06
 2.76162720E+02 6.05339540E-06
