 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.05 Teff 25.00 logg 4.00 R/R0 7.07 R 4.9172E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.03110500E+02 4.40750340E-13
 3.03701680E+02 3.24976940E-12
 3.04294020E+02 6.13352280E-12
 3.04887510E+02 2.07082220E-13
 3.05482160E+02 3.38332800E-12
 3.06077970E+02 8.72232840E-12
 3.06341390E+02 7.68343380E-12
 3.06674940E+02 6.30674760E-12
 3.07273080E+02 6.40178860E-12
 3.07872380E+02 6.65246200E-12
 3.08472850E+02 6.88212550E-12
 3.09074490E+02 5.99851410E-12
 3.09677310E+02 1.27919680E-11
 3.10281300E+02 8.49250520E-12
 3.10886470E+02 7.64443700E-12
 3.11492820E+02 4.06628140E-11
 3.12100350E+02 9.25713260E-12
 3.12709070E+02 8.86759490E-12
 3.13318970E+02 9.14286590E-12
 3.13435610E+02 9.02276340E-12
 3.13440520E+02 9.01757920E-12
 3.13588740E+02 8.86116610E-12
 3.13593660E+02 8.85590680E-12
 3.13930070E+02 8.48515440E-12
 3.14542350E+02 1.53765130E-11
 3.15155830E+02 1.35509320E-11
 3.15770510E+02 1.19078800E-11
 3.16351530E+02 1.22538390E-11
 3.16386390E+02 1.22748100E-11
 3.17003460E+02 1.29518140E-11
 3.17621740E+02 1.33809660E-11
 3.18241230E+02 1.39708220E-11
 3.18861920E+02 1.44352240E-11
 3.19163430E+02 1.46719170E-11
 3.19168530E+02 1.46766920E-11
 3.19483830E+02 1.49276020E-11
 3.20106950E+02 1.36596010E-11
 3.20731280E+02 1.28525520E-11
 3.21090110E+02 1.59908650E-11
 3.21356830E+02 1.84123850E-11
 3.21983600E+02 1.40933350E-11
 3.22611600E+02 3.92030900E-11
 3.23040200E+02 1.64390790E-10
 3.23045410E+02 1.65956250E-10
 3.23240810E+02 2.25310080E-10
 3.23871260E+02 9.92055590E-11
 3.24502930E+02 3.10334360E-11
