UniqueID      Time          Wavelength    L_lambda      L_l_neb       
              (yr)          (Angstrom)    (erg/s/A)     (erg/s/A)     
-----------   -----------   -----------   -----------   -----------   
          1   5.00000e+05   8.55000e+02   1.69010e+39   0.00000e+00
          1   5.00000e+05   8.65000e+02   1.56812e+39   0.00000e+00
          1   5.00000e+05   8.75000e+02   1.48012e+39   0.00000e+00
          1   5.00000e+05   8.85000e+02   1.60466e+39   0.00000e+00
          1   5.00000e+05   8.95000e+02   1.60862e+39   0.00000e+00
          1   5.00000e+05   9.05000e+02   1.38266e+39   0.00000e+00
          1   5.00000e+05   9.15000e+02   1.23882e+39   1.23882e+39
          1   5.00000e+05   9.25000e+02   8.62799e+38   8.62802e+38
          1   5.00000e+05   9.35000e+02   2.33107e+39   2.33108e+39
          1   5.00000e+05   9.45000e+02   3.42432e+39   3.42432e+39
          1   5.00000e+05   9.55000e+02   2.55097e+39   2.55097e+39
          1   5.00000e+05   9.65000e+02   2.43142e+39   2.43142e+39
          1   5.00000e+05   9.75000e+02   2.16481e+39   2.16482e+39
          1   5.00000e+05   9.85000e+02   2.01585e+39   2.01586e+39
          1   5.00000e+05   9.95000e+02   2.07284e+39   2.07285e+39
          1   5.00000e+05   1.00500e+03   2.12772e+39   2.12773e+39
          1   5.00000e+05   1.01500e+03   2.34070e+39   2.34071e+39
          1   5.00000e+05   1.02500e+03   2.11334e+39   2.11336e+39
          1   5.00000e+05   1.03500e+03   2.11522e+39   2.11524e+39
          1   5.00000e+05   1.04500e+03   2.24290e+39   2.24292e+39
          1   5.00000e+05   1.05500e+03   2.18475e+39   2.18477e+39
          1   5.00000e+05   1.06500e+03   2.07119e+39   2.07121e+39
          1   5.00000e+05   1.07500e+03   2.04527e+39   2.04529e+39
          1   5.00000e+05   1.08500e+03   1.85817e+39   1.85819e+39
          1   5.00000e+05   1.09500e+03   2.00472e+39   2.00475e+39
          1   5.00000e+05   1.10500e+03   1.92829e+39   1.92833e+39
          1   5.00000e+05   1.11500e+03   1.86288e+39   1.86291e+39
          1   5.00000e+05   1.12500e+03   1.77292e+39   1.77296e+39
          1   5.00000e+05   1.13500e+03   1.82160e+39   1.82165e+39
          1   5.00000e+05   1.14500e+03   1.76551e+39   1.76556e+39
          1   5.00000e+05   1.15500e+03   1.69986e+39   1.69992e+39
          1   5.00000e+05   1.16500e+03   1.65014e+39   1.65020e+39
          1   5.00000e+05   1.17500e+03   1.41614e+39   1.41621e+39
          1   5.00000e+05   1.18500e+03   1.59030e+39   1.59038e+39
          1   5.00000e+05   1.19500e+03   1.44059e+39   1.44067e+39
          1   5.00000e+05   1.20500e+03   1.44930e+39   1.44939e+39
          1   5.00000e+05   1.21500e+03   1.36833e+39   1.36842e+39
          1   5.00000e+05   1.22500e+03   1.42180e+39   1.42837e+39
          1   5.00000e+05   1.23500e+03   1.12375e+39   1.13606e+39
          1   5.00000e+05   1.24500e+03   1.54561e+39   1.56300e+39
          1   5.00000e+05   1.25500e+03   1.33400e+39   1.35587e+39
          1   5.00000e+05   1.26500e+03   1.35710e+39   1.38294e+39
          1   5.00000e+05   1.27500e+03   1.35216e+39   1.38150e+39
          1   5.00000e+05   1.28500e+03   1.32852e+39   1.36093e+39
          1   5.00000e+05   1.29500e+03   1.27258e+39   1.30769e+39
          1   5.00000e+05   1.30500e+03   1.24980e+39   1.28728e+39
          1   5.00000e+05   1.31500e+03   1.25421e+39   1.29375e+39
          1   5.00000e+05   1.32500e+03   1.21852e+39   1.25985e+39
          1   5.00000e+05   1.33500e+03   1.18571e+39   1.22857e+39
          1   5.00000e+05   1.34500e+03   1.17319e+39   1.21736e+39
          1   5.00000e+05   1.35500e+03   1.14540e+39   1.19069e+39
          1   5.00000e+05   1.36500e+03   1.11143e+39   1.15765e+39
          1   5.00000e+05   1.37500e+03   1.08664e+39   1.13362e+39
          1   5.00000e+05   1.38500e+03   1.06332e+39   1.11092e+39
          1   5.00000e+05   1.39500e+03   9.73510e+38   1.02160e+39
          1   5.00000e+05   1.40500e+03   9.42474e+38   9.90924e+38
          1   5.00000e+05   1.41500e+03   9.94438e+38   1.04315e+39
          1   5.00000e+05   1.42500e+03   9.62156e+38   1.01102e+39
          1   5.00000e+05   1.43500e+03   9.58906e+38   1.00785e+39
          1   5.00000e+05   1.44200e+03   9.47654e+38   9.96598e+38
          1   5.00000e+05   1.44700e+03   9.38371e+38   9.87295e+38
          1   5.00000e+05   1.45500e+03   9.16743e+38   9.65602e+38
          1   5.00000e+05   1.46500e+03   8.93067e+38   9.41787e+38
          1   5.00000e+05   1.47500e+03   8.80394e+38   9.28920e+38
          1   5.00000e+05   1.48500e+03   8.66582e+38   9.14864e+38
          1   5.00000e+05   1.49500e+03   8.47476e+38   8.95469e+38
          1   5.00000e+05   1.50500e+03   8.25552e+38   8.73218e+38
          1   5.00000e+05   1.51200e+03   8.04787e+38   8.52203e+38
          1   5.00000e+05   1.51700e+03   8.02305e+38   8.49532e+38
          1   5.00000e+05   1.52500e+03   7.88969e+38   8.35882e+38
          1   5.00000e+05   1.53500e+03   7.49523e+38   7.96017e+38
          1   5.00000e+05   1.54500e+03   7.08890e+38   7.54944e+38
          1   5.00000e+05   1.55500e+03   7.00400e+38   7.45994e+38
          1   5.00000e+05   1.56500e+03   7.11738e+38   7.56856e+38
          1   5.00000e+05   1.57500e+03   7.11138e+38   7.55766e+38
          1   5.00000e+05   1.58500e+03   7.01821e+38   7.45948e+38
          1   5.00000e+05   1.59500e+03   6.90147e+38   7.33763e+38
          1   5.00000e+05   1.60500e+03   6.73006e+38   7.16106e+38
          1   5.00000e+05   1.61500e+03   6.58277e+38   7.00855e+38
          1   5.00000e+05   1.62500e+03   6.48913e+38   6.90964e+38
          1   5.00000e+05   1.63500e+03   6.43390e+38   6.84914e+38
          1   5.00000e+05   1.63988e+03   6.38049e+38   6.79315e+38
          1   5.00000e+05   1.63995e+03   6.37975e+38   6.79244e+38
          1   5.00000e+05   1.64002e+03   6.37900e+38   6.79246e+38
          1   5.00000e+05   1.64009e+03   6.37826e+38   6.79828e+38
          1   5.00000e+05   1.64016e+03   6.37752e+38   6.83334e+38
          1   5.00000e+05   1.64022e+03   6.37677e+38   6.95920e+38
          1   5.00000e+05   1.64029e+03   6.37603e+38   7.23974e+38
          1   5.00000e+05   1.64036e+03   6.37529e+38   7.59847e+38
          1   5.00000e+05   1.64043e+03   6.37454e+38   7.77257e+38
          1   5.00000e+05   1.64050e+03   6.37380e+38   7.59691e+38
          1   5.00000e+05   1.64057e+03   6.37306e+38   7.23662e+38
          1   5.00000e+05   1.64064e+03   6.37231e+38   6.95452e+38
          1   5.00000e+05   1.64070e+03   6.37157e+38   6.82710e+38
          1   5.00000e+05   1.64077e+03   6.37083e+38   6.79048e+38
          1   5.00000e+05   1.64084e+03   6.37009e+38   6.78311e+38
          1   5.00000e+05   1.64091e+03   6.36935e+38   6.78153e+38
          1   5.00000e+05   1.64098e+03   6.36860e+38   6.78069e+38
