 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 1.00 Teff 28.10 logg 3.08 R/R0 27.77 R 1.9314E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.03110500E+02 2.91411500E-11
 3.03701680E+02 7.10087380E-10
 3.04294020E+02 5.19225460E-12
 3.04887510E+02 5.08905020E-11
 3.05482160E+02 4.04275990E-10
 3.06077970E+02 2.08083210E-09
 3.06534360E+02 1.10978370E-09
 3.06674940E+02 8.00328820E-10
 3.07273080E+02 2.06946110E-10
 3.07872380E+02 1.99718290E-10
 3.08472850E+02 1.34211970E-11
 3.09074490E+02 4.72663630E-11
 3.09677310E+02 9.94175630E-10
 3.10281300E+02 2.68707890E-10
 3.10886470E+02 5.22561570E-10
 3.11492820E+02 1.92926420E-10
 3.12100350E+02 1.15797210E-10
 3.12709070E+02 9.81220940E-11
 3.13318970E+02 2.40058940E-12
 3.13435610E+02 8.74304420E-12
 3.13440520E+02 9.00688310E-12
 3.13588740E+02 1.71810690E-11
 3.13593660E+02 1.74544180E-11
 3.13930070E+02 3.64966310E-11
 3.14542350E+02 8.00190480E-10
 3.15155830E+02 2.07960370E-09
 3.15770510E+02 1.87048240E-09
 3.16351530E+02 1.45761450E-09
 3.16386390E+02 1.43198610E-09
 3.17003460E+02 2.81107870E-09
 3.17621740E+02 2.20058030E-09
 3.18241230E+02 4.59485070E-10
 3.18861920E+02 1.07383230E-09
 3.19163430E+02 6.66152940E-10
 3.19168530E+02 6.52353750E-10
 3.19483830E+02 2.16478310E-10
 3.20106950E+02 1.06885340E-09
 3.20731280E+02 1.94937610E-09
 3.20800100E+02 1.75010490E-09
 3.20805250E+02 1.73514840E-09
 3.21356830E+02 8.52052460E-11
 3.21983600E+02 3.40123070E-12
 3.22611600E+02 8.26292530E-11
 3.23240810E+02 3.22109520E-09
 3.23871260E+02 1.44682390E-09
 3.24233030E+02 1.41371180E-09
 3.24502930E+02 1.38787790E-09
 3.25135840E+02 2.85872190E-10
 3.25769980E+02 8.71879190E-10
 3.26405360E+02 7.25692350E-10
 3.27041980E+02 3.96109390E-10
 3.27679840E+02 1.19462940E-09
 3.27740230E+02 1.24754590E-09
 3.27745600E+02 1.25226640E-09
 3.27954120E+02 1.43737750E-09
 3.27959500E+02 1.44179400E-09
 3.28318940E+02 1.76947440E-09
 3.28839200E+02 2.08506950E-09
 3.28844600E+02 2.08818150E-09
 3.28959290E+02 2.15973900E-09
 3.29600890E+02 3.26139360E-09
 3.30243740E+02 2.70607720E-09
 3.30887840E+02 1.75503490E-09
 3.31533200E+02 1.86627870E-09
 3.32179820E+02 7.79077240E-09
 3.32827700E+02 4.05303780E-09
 3.33476850E+02 3.82887700E-09
 3.34127260E+02 1.49696590E-09
 3.34778940E+02 1.59140080E-09
 3.35234000E+02 3.83599220E-09
 3.35431880E+02 4.84132700E-09
 3.36086110E+02 1.50889650E-09
 3.36741610E+02 4.19515750E-09
 3.37398380E+02 7.09916630E-09
 3.38056440E+02 4.38189860E-09
 3.38715780E+02 6.42418890E-09
 3.39376410E+02 1.19028250E-08
 3.40038330E+02 3.07752580E-09
 3.40701540E+02 5.30044740E-09
 3.41366040E+02 7.36095580E-09
 3.41882450E+02 6.46505470E-09
 3.41888290E+02 6.38366660E-09
