#"E (kev)" "Fv (kev/s/cm^2/kev)"
1.4114906815439797e-06 2.1840173345618095e+23
1.4244550046810078e-06 2.224095785172541e+23
1.4376596860685492e-06 2.265662876954359e+23
1.4509417718128384e-06 2.3077994912239994e+23
1.4644715640665227e-06 2.3509124877777184e+23
1.477903882164572e-06 2.394238330601627e+23
1.4915848870848259e-06 2.438766839653979e+23
1.5055215496628538e-06 2.4845033755036422e+23
1.5193488967391111e-06 2.5305044438921185e+23
1.5334325906280534e-06 2.5776755435393378e+23
1.5475867644719446e-06 2.625297003469221e+23
1.562004669617472e-06 2.674489884481168e+23
1.5764934041641144e-06 2.724450157867623e+23
1.5910493832741191e-06 2.7749773104348377e+23
1.605668835352864e-06 2.8261606963054233e+23
1.6205594423682838e-06 2.8787351824570308e+23
1.6355131941433667e-06 2.932246661331446e+23
1.650745488394303e-06 2.986948727342456e+23
1.6660404311496684e-06 3.0427137768225715e+23
1.6813935615627564e-06 3.098922213088825e+23
1.697032292541592e-06 3.156942082585836e+23
1.7127282013765295e-06 3.215658932953595e+23
1.728476329168512e-06 3.27491013699266e+23
1.7445167450466227e-06 3.336117707652727e+23
1.7606077892396168e-06 3.397877326093302e+23
1.7769984375209941e-06 3.4614376565593763e+23
1.7934378564283869e-06 3.525799154275269e+23
1.8099202174721486e-06 3.5908197471785955e+23
1.8267083466978182e-06 3.6578036797866106e+23
1.8435368634133106e-06 3.725529451642505e+23
1.8606783279501468e-06 3.795169594360613e+23
1.877857286328376e-06 3.8655948229152724e+23
1.8953564147222088e-06 3.937973919598943e+23
1.912889776560527e-06 4.011002639964845e+23
1.930450146378027e-06 4.0850169597530096e+23
1.948335912495537e-06 4.161141165564899e+23
1.9662445468734675e-06 4.237969324422049e+23
1.9844854591765163e-06 4.316904146162893e+23
2.0030679836570197e-06 4.398122564495796e+23
2.0213429603733433e-06 4.478611476220026e+23
2.040289934348229e-06 4.5632983554776154e+23
2.058911896908659e-06 4.646695822033313e+23
2.078224973328573e-06 4.734406525386148e+23
2.0971945724766024e-06 4.8210810483310876e+23
2.116874780885784e-06 4.91216513534638e+23
2.1361919922127376e-06 5.002142991640692e+23
2.156239675142784e-06 5.096600462491702e+23
2.1759037339129394e-06 5.1898677084740524e+23
2.196318479513468e-06 5.2876404836235556e+23
2.216327811856302e-06 5.384560622494146e+23
2.237108382757227e-06 5.4859644860914e+23
2.2578713540985587e-06 5.588293371985985e+23
2.2786047916935868e-06 5.691427536247971e+23
2.299722537677772e-06 5.7974513117869165e+23
2.3208011767249496e-06 5.9041976216893596e+23
2.3422697924809475e-06 6.013889122268682e+23
2.3641393084549505e-06 6.126747769334563e+23
2.385962132840688e-06 6.240374172106201e+23
2.408191593705664e-06 6.357140918749416e+23
2.4303629952539826e-06 6.474620727788286e+23
2.4529464394566192e-06 6.5956978502697e+23
2.4754595153175536e-06 6.717294493483547e+23
2.498389667896009e-06 6.842170693150118e+23
2.5217485956852803e-06 6.970836859635047e+23
2.5450262750300675e-06 7.100120124417054e+23
2.568205980288052e-06 7.229892519955612e+23
2.5923533411557833e-06 7.366710862498458e+23
2.616407231288819e-06 7.504045501057458e+23
2.6403496681786724e-06 7.641769196366479e+23
2.6647343408014564e-06 7.783746438348715e+23
2.6895736160354607e-06 7.929577449961211e+23
2.714286390455388e-06 8.07606308262058e+23
2.739457516178313e-06 8.226230385345563e+23
2.765099864223664e-06 8.380969517986397e+23
2.790598985778583e-06 8.5362714181708e+23
2.8159335203748477e-06 8.692210608666147e+23
2.8423832968548867e-06 8.856231200060686e+23
2.868671234860481e-06 9.020612433559632e+23
2.8954499628405087e-06 9.190124516151e+23
2.922045004892035e-06 9.359569934724344e+23
2.9491331330571854e-06 9.53386580719636e+23
2.976014173847824e-06 9.70838810828557e+23
3.004116971131133e-06 9.892639003300823e+23
3.0312736600956705e-06 1.0072407422927501e+24
3.059680170350575e-06 1.0261990930287045e+24
3.0878554232880982e-06 1.0451763343138826e+24
3.116554406121974e-06 1.0647029746214513e+24
3.1449944463299315e-06 1.0842172657033422e+24
3.1747704940561875e-06 1.1048491204538218e+24
3.203460648275647e-06 1.1249163855423418e+24
3.233516573044457e-06 1.1461215155309721e+24
3.2632832958368175e-06 1.1672836121296798e+24
3.29360315656267e-06 1.1891260854864688e+24
3.3236011494164426e-06 1.2108723763078845e+24
3.355057623248129e-06 1.2339241289887847e+24
3.386190799883073e-06 1.2568895824733753e+24
3.4169658746272594e-06 1.2798629878515592e+24
3.449264134215063e-06 1.304166553628713e+24
3.480225270903669e-06 1.32767350640732e+24
3.5127415319285334e-06 1.3526141651990758e+24
3.5458711319724436e-06 1.378246371806321e+24
3.5785991031934176e-06 1.4038066114078058e+24
3.610885649235035e-06 1.4292300098741863e+24
3.6448305202031668e-06 1.4563086307446858e+24
3.6783288143408182e-06 1.4831773349353805e+24
3.7124485609729446e-06 1.51087810742183e+24
3.747207215575832e-06 1.539235009224996e+24
3.7814700063308684e-06 1.5674418981453057e+24
3.8163651463462256e-06 1.5965899960081786e+24
3.851910304492885e-06 1.6264388632525395e+24
3.886905730191597e-06 1.6561207943417344e+24
3.9237833936659015e-06 1.6877337373230144e+24
3.960103125046786e-06 1.718967433634323e+24
3.995814199926435e-06 1.7502065628916617e+24
4.033486050315858e-06 1.783326984727485e+24
4.070539071775453e-06 1.8162949114283348e+24
4.108279169129662e-06 1.8501441787075546e+24
4.146725631942373e-06 1.8849202860585172e+24
4.184486708523299e-06 1.9194172987923896e+24
4.222941828036617e-06 1.954837971380557e+24
4.2621103025666715e-06 1.9913059897995017e+24
4.302012167396526e-06 2.0287994283096273e+24
4.341148737148908e-06 2.0657193417060826e+24
4.382551427330124e-06 2.1054343250048118e+24
4.423174007405198e-06 2.144547795958283e+24
4.462950752076108e-06 2.1833203898357045e+24
4.505084637171961e-06 2.224812995131897e+24
4.546355108380938e-06 2.265750981900325e+24
4.5883887170013235e-06 2.307880877687323e+24
4.631206827462329e-06 2.351008742361667e+24
4.6730708439817624e-06 2.3936118700603445e+24
4.717491669494898e-06 2.4394555988520455e+24
4.760937486865534e-06 2.48454948355496e+24
4.80519097241347e-06 2.53120803393423e+24
4.8483794805672445e-06 2.5767047763393955e+24
4.894281298134746e-06 2.625707864733991e+24
4.939093587090597e-06 2.674065440621474e+24
4.984734066199912e-06 2.7236123534167514e+24
5.031225908666497e-06 2.774875622868765e+24
5.078593160364953e-06 2.8271437967914893e+24
5.124743118864759e-06 2.8787989841559704e+24
5.171739512618416e-06 2.931875297962659e+24
5.219605843824813e-06 2.986394181429426e+24
5.268366492896637e-06 3.0424399894434434e+24
5.318046759867801e-06 3.100234679952214e+24
5.366350817807777e-06 3.1567576503400324e+24
5.415540415002873e-06 3.2149022608594256e+24
5.465640128093207e-06 3.274652431701489e+24
5.516675451654771e-06 3.390587707049216e+24
5.568672841459417e-06 3.7172373315649345e+24
5.619113718646549e-06 4.030163018473351e+24
5.6704767325281446e-06 4.3448266643022024e+24
5.722787403492427e-06 4.6611347163618303e+24
5.776072202407626e-06 4.979454042415008e+24
5.8303585952873965e-06 5.299517810424971e+24
5.882884348398094e-06 5.605368628838296e+24
5.939206840962939e-06 5.929397254611923e+24
5.9937212998896524e-06 6.239187416552485e+24
6.0492457780456266e-06 6.550849129982097e+24
6.105808607663179e-06 6.864791444595805e+24
6.160378893133853e-06 7.164134035340656e+24
6.219049168306557e-06 7.481993445146428e+24
6.275671770749409e-06 7.785533902617955e+24
6.333334911062572e-06 8.091190863651352e+24
6.392067537749398e-06 8.398820320999399e+24
6.451899683188549e-06 8.709090433913676e+24
6.512862514840725e-06 9.02166161971029e+24
6.571505874349353e-06 9.319179535370877e+24
6.631214906879519e-06 9.618873994012951e+24
6.692018927061262e-06 9.921144168647282e+24
6.7539483346606315e-06 1.0225704089409924e+25
6.81703466525911e-06 1.0532935681531182e+25
6.8813106438001e-06 1.0842795353369148e+25
6.946810241193494e-06 1.115551478347304e+25
7.009606265972644e-06 1.145238880233475e+25
7.073547942287104e-06 1.1751861762359667e+25
7.138666910685604e-06 1.2054133412532487e+25
7.2049959876722295e-06 1.2359176976914615e+25
7.272569220850868e-06 1.2667297736510992e+25
7.341421947202118e-06 1.2978457173066266e+25
7.407166024341242e-06 1.3272851403835964e+25
7.474098247452759e-06 1.3570079190144093e+25
7.546838862999745e-06 1.3890679259662845e+25
7.616330933561437e-06 1.4194756213138002e+25
7.687114678297138e-06 1.4501635718011827e+25
7.754376931732238e-06 1.4791126651878046e+25
7.827762202379545e-06 1.510596614183437e+25
7.902549739344956e-06 1.5424442022140111e+25
7.97365237196117e-06 1.5724910799639998e+25
8.046046102964708e-06 1.6029132228927593e+25
8.119766420662029e-06 1.6336469521948025e+25
8.194850126005006e-06 1.6647868488739742e+25
8.27133539384772e-06 1.6962924774697316e+25
8.349261837665935e-06 1.7282125213891495e+25
8.428670577969824e-06 1.7605589231792292e+25
8.503771823695394e-06 1.7909633357328937e+25
8.586161308492443e-06 1.8241314985847987e+25
8.664108303611439e-06 1.8553458358749723e+25
8.743483503010276e-06 1.8869833170025759e+25
8.82432652259714e-06 1.9190269126895932e+25
8.906678457122455e-06 1.956291832974074e+25
8.99058194983448e-06 1.998082705245767e+25
9.069446703780395e-06 2.0370818150795592e+25
9.156459845587883e-06 2.0797987174953517e+25
