 menzel.local
 117.144u 0.209s 1:57.47 99.8%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 OII      7319 ,  0.084,   0.087,    3.0
 OII      7330 ,  0.068,   0.070,    3.0
 OIII     1663 ,  0.954,   0.968,    1.5
 OIII     4363 ,  0.147,   0.149,    1.4
 OIII     4959 ,  0.515,   0.522,    1.3
 OIII     5007 ,  1.490,   1.508,    1.3
 OIV      1400 ,  0.809,   0.814,    0.5
 OIV      1406 ,  0.861,   0.866,    0.6
 OIV    25.89m ,  0.127,   0.127,    0.3
 NeII   12.81m ,  0.843,   0.841,   -0.2
 NeIII  15.55m ,  0.389,   0.387,   -0.4
 NeIV     2423 ,  0.573,   0.577,    0.7
 NeVI   7.652m ,  0.111,   0.111,   -0.1
 MgII     2798 ,  0.408,   0.413,    1.2
 MgVI     1806 ,  0.312,   0.311,   -0.1
 SiIII    1892 ,  0.602,   0.618,    2.7
 SiIII    2335 ,  0.044,   0.046,    5.0
 SiIII  18.71m ,  0.187,   0.186,   -0.5
 SiIV     1397 ,  0.427,   0.435,    1.7
 SII      6716 ,  0.852,   0.848,   -0.5
 SII      6731 ,  0.664,   0.660,   -0.5
 SIII     6312 ,  0.015,   0.015,    2.0
 SIII     9069 ,  0.077,   0.077,    0.4
 SIII     9531 ,  0.193,   0.194,    0.4
 SIV    10.51m ,  0.017,   0.017,    0.5
 ArII   6.985m ,  0.101,   0.101,   -0.2
 FeII   1.643m ,  1.054,   1.045,   -0.8
 FeII   17.93m ,  0.485,   0.482,   -0.6
 NiII   6.636m ,  0.132,   0.131,   -0.3
 Ltot          , 175.49,  173.76,   -1.0
 MV 5.2 Shock Test 03: 200km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  0.621,   0.605,   -2.6
 Lya      1215 , 47.629,  48.245,    1.3
 HeI      5876 ,  0.082,   0.083,    0.2
 HeII     4686 ,  0.176,   0.172,   -2.1
 CII      2326 ,  0.297,   0.301,    1.4
 CIII     1909 ,  1.029,   1.023,   -0.6
 CIV      1549 ,  0.017,   0.016,   -3.1
 NI       5200 ,  0.056,   0.058,    3.5
 NII      5755 ,  0.015,   0.015,    0.8
 NII      6548 ,  0.250,   0.252,    1.1
 NII      6584 ,  0.735,   0.743,    1.1
 NIII     1749 ,  0.022,   0.021,   -1.8
 NIV      1485 ,  0.001,   0.001,   -3.3
 OI       6300 ,  0.224,   0.229,    2.6
 OII      3727 ,  4.637,   4.648,    0.2
 OII      7319 ,  0.053,   0.053,   -0.2
 OII      7330 ,  0.043,   0.043,   -0.2
 OIII     1663 ,  0.034,   0.033,   -1.7
 OIII     4363 ,  0.034,   0.034,   -1.3
 OIII     4959 ,  2.043,   2.025,   -0.9
 OIII     5007 ,  5.906,   5.852,   -0.9
 OIV    25.89m ,  1.402,   1.345,   -4.1
 NeII   12.81m ,  0.079,   0.079,    1.1
 NeIII  15.55m ,  0.949,   0.947,   -0.2
 NeIV     2423 ,  0.021,   0.020,   -3.2
 MgII     2798 ,  1.331,   1.335,    0.3
 SiIII    1892 ,  0.239,   0.235,   -1.7
 SiIII    2335 ,  0.219,   0.221,    0.7
 SiIII  18.71m ,  0.744,   0.742,   -0.2
 SiIV     1397 ,  0.003,   0.003,   -2.6
 SII      6716 ,  0.333,   0.339,    1.6
 SII      6731 ,  0.231,   0.234,    1.6
 SIII     6312 ,  0.040,   0.040,   -0.5
 SIII     9069 ,  0.577,   0.575,   -0.3
 SIII     9531 ,  1.450,   1.445,   -0.3
 SIV    10.51m ,  0.406,   0.397,   -2.3
 ArII   6.985m ,  0.002,   0.002,    2.8
 FeII   1.643m ,  0.125,   0.128,    2.6
 FeII   17.93m ,  0.028,   0.029,    2.7
 NiII   6.636m ,  0.011,   0.011,    2.4
 Ltot          , 44.852,  43.976,   -2.0
 MV 5.2 Shock Test 03: 200km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.505,   9.566,    0.6
 XHIPre 1E-3   ,  4.997,   5.050,    1.1
 TShock  kK    , 568.23,  568.57,    0.1
 Mach Number   , 13.731,  13.691,   -0.3
 Alfven Mach   , 173.13,  173.13,    0.0
 R4   E17cm    ,  7.565,   7.546,   -0.2
 R3   E17cm    ,  8.061,   8.038,   -0.3
 nH post       ,  3.937,   3.936,   -0.0
 nH4           , 163.86,  163.54,   -0.2
 nH3           , 215.49,  215.64,    0.1
 menzel.local
 881.657u 0.958s 15:41.62 93.7%
 MV 5.2 Shock Test 04: 400km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e4 4861 ,  1.516,   1.490,   -1.8
 Lya      1215 , 29.424,  29.509,    0.3
 HeI      5876 ,  0.226,   0.226,    0.1
 HeII     4686 ,  0.247,   0.245,   -0.7
 CII      2326 ,  0.986,   0.994,    0.8
 CIII     1909 ,  0.849,   0.863,    1.7
 CIV      1549 ,  1.592,   1.616,    1.5
 NI       5200 ,  0.599,   0.604,    0.7
 NII      5755 ,  0.033,   0.033,   -0.2
 NII      6548 ,  1.040,   1.037,   -0.3
 NII      6584 ,  3.060,   3.050,   -0.3
 NIII     1749 ,  0.097,   0.099,    1.9
 NIV      1485 ,  0.138,   0.139,    0.7
 OI       6300 ,  1.977,   1.982,    0.3
 OII      3727 ,  5.947,   5.934,   -0.2
 OII      7319 ,  0.072,   0.073,    0.7
 OII      7330 ,  0.059,   0.059,    0.7
 OIII     1663 ,  0.421,   0.428,    1.8
 OIII     4363 ,  0.067,   0.068,    1.7
 OIII     4959 ,  0.264,   0.268,    1.3
 OIII     5007 ,  0.764,   0.774,    1.3
 OIV      1400 ,  0.374,   0.377,    0.6
 OIV      1406 ,  0.396,   0.399,    0.6
 OIV    25.89m ,  0.066,   0.066,    0.3
 NeII   12.81m ,  0.756,   0.760,    0.6
 NeIII  15.55m ,  1.985,   1.982,   -0.1
 NeIV     2423 ,  0.280,   0.282,    0.8
 NeVI   7.652m ,  0.049,   0.049,   -0.1
 MgII     2798 ,  3.414,   3.418,    0.1
 MgVI     1806 ,  0.180,   0.180,   -0.0
 SiIII    1892 ,  0.238,   0.246,    3.4
 SiIII    2335 ,  0.276,   0.276,   -0.1
 SiIII  18.71m ,  0.846,   0.843,   -0.4
 SiIV     1397 ,  0.171,   0.174,    2.0
 SII      6716 ,  2.704,   2.715,    0.4
 SII      6731 ,  2.222,   2.228,    0.3
 SIII     6312 ,  0.025,   0.025,   -0.1
 SIII     9069 ,  0.455,   0.452,   -0.5
 SIII     9531 ,  1.142,   1.136,   -0.5
 SIV    10.51m ,  0.010,   0.010,   -0.0
 ArII   6.985m ,  0.125,   0.126,    0.5
 FeII   1.643m ,  2.854,   2.857,    0.1
 FeII   17.93m ,  0.956,   0.957,    0.1
 NiII   6.636m ,  0.214,   0.214,    0.2
 Ltot          , 102.51,  100.96,   -1.5
 MV 5.2 Shock Test 04: 400km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  4.449,   4.352,   -2.2
 Lya      1215 , 48.224,  48.624,    0.8
 HeI      5876 ,  0.023,   0.024,    4.2
 HeII     4686 ,  0.700,   0.692,   -1.2
 CII      2326 ,  0.287,   0.300,    4.6
 CIII     1909 ,  5.120,   5.204,    1.7
 CIV      1549 ,  4.845,   4.771,   -1.5
 NI       5200 ,  0.153,   0.159,    3.9
 NII      5755 ,  0.009,   0.009,    3.6
 NII      6548 ,  0.121,   0.126,    4.0
 NII      6584 ,  0.355,   0.370,    4.0
 NIII     1749 ,  0.211,   0.214,    1.5
 NIV      1485 ,  0.369,   0.361,   -2.1
 OI       6300 ,  0.425,   0.441,    3.9
 OII      3727 ,  1.567,   1.624,    3.7
 OII      7319 ,  0.027,   0.028,    3.1
 OII      7330 ,  0.022,   0.023,    3.1
 OIII     1663 ,  0.491,   0.499,    1.7
 OIII     4363 ,  0.220,   0.225,    2.2
 OIII     4959 ,  4.038,   4.150,    2.8
 OIII     5007 , 11.673,  11.995,    2.8
 OIV    25.89m , 17.504,  17.216,   -1.6
 NeII   12.81m ,  0.080,   0.082,    2.3
 NeIII  15.55m ,  0.622,   0.642,    3.2
 NeIV     2423 ,  1.335,   1.312,   -1.7
 MgII     2798 ,  0.672,   0.706,    5.1
 SiIII    1892 ,  1.025,   1.045,    1.9
 SiIII    2335 ,  0.241,   0.249,    3.3
 SiIII  18.71m ,  0.509,   0.526,    3.2
 SiIV     1397 ,  0.712,   0.712,   -0.1
 SII      6716 ,  0.078,   0.081,    4.2
 SII      6731 ,  0.054,   0.056,    4.2
 SIII     6312 ,  0.062,   0.064,    3.0
 SIII     9069 ,  0.484,   0.500,    3.3
 SIII     9531 ,  1.215,   1.255,    3.3
 SIV    10.51m ,  2.889,   2.883,   -0.2
 ArII   6.985m ,  0.017,   0.017,    2.6
 FeII   1.643m ,  0.318,   0.329,    3.3
 FeII   17.93m ,  0.090,   0.093,    2.9
 NiII   6.636m ,  0.026,   0.027,    2.7
 Ltot          , 483.51,  476.69,   -1.4
 MV 5.2 Shock Test 04: 400km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 12.985,  12.973,   -0.1
 XHIPre 1E-3   ,  1.384,   1.399,    1.1
 TShock  MK    ,  2.199,   2.199,    0.0
 Mach Number   ,  23.22,  23.231,    0.0
 Alfven Mach   , 346.26,  346.26,    0.0
 R4   E17cm    , 116.85,  116.16,   -0.6
 R3   E17cm    , 117.70,  117.00,   -0.6
 nH post       ,  3.978,   3.978,    0.0
 nH4           , 393.43,  393.31,   -0.0
 nH3           , 445.10,  445.02,   -0.0
 menzel.local
 1195.691u 0.859s 32:35.25 61.1%
 MV 5.2 Shock Test 05: 800km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  6.673,   6.574,   -1.5
 Lya      1215 , 33.888,  34.054,    0.5
 HeI      5876 ,  0.216,   0.216,    0.2
 HeII     4686 ,  0.203,   0.202,   -0.6
 CII      2326 ,  1.129,   1.142,    1.1
 CIII     1909 ,  0.640,   0.647,    1.1
 CIV      1549 ,  0.666,   0.675,    1.3
 NI       5200 ,  0.525,   0.528,    0.6
 NII      5755 ,  0.046,   0.046,    0.2
 NII      6548 ,  1.165,   1.165,   -0.0
 NII      6584 ,  3.426,   3.426,   -0.0
 NIII     1749 ,  0.042,   0.043,    2.3
 NIV      1485 ,  0.058,   0.059,    0.8
 OI       6300 ,  2.057,   2.068,    0.5
 OII      3727 ,  7.303,   7.292,   -0.1
 OII      7319 ,  0.109,   0.109,    0.0
 OII      7330 ,  0.088,   0.088,    0.0
 OIII     1663 ,  0.182,   0.186,    2.1
 OIII     4363 ,  0.030,   0.030,    2.0
 OIII     4959 ,  0.158,   0.159,    0.7
 OIII     5007 ,  0.455,   0.458,    0.7
 OIV      1400 ,  0.161,   0.161,    0.6
 OIV      1406 ,  0.168,   0.169,    0.6
 OIV    25.89m ,  0.028,   0.028,    0.2
 NeII   12.81m ,  0.938,   0.937,   -0.1
 NeIII  15.55m ,  2.092,   2.084,   -0.4
 NeIV     2423 ,  0.120,   0.121,    0.6
 NeVI   7.652m ,  0.022,   0.022,   -0.4
 MgII     2798 ,  3.659,   3.686,    0.7
 MgVI     1806 ,  0.081,   0.081,   -0.3
 SiIII    1892 ,  0.099,   0.103,    3.8
 SiIII    2335 ,  0.413,   0.415,    0.5
 SiIII  18.71m ,  1.628,   1.618,   -0.6
 SiIV     1397 ,  0.068,   0.070,    2.2
 SII      6716 ,  1.863,   1.871,    0.4
 SII      6731 ,  1.776,   1.781,    0.3
 SIII     6312 ,  0.037,   0.037,    0.0
 SIII     9069 ,  0.681,   0.678,   -0.5
 SIII     9531 ,  1.710,   1.702,   -0.5
 SIV    10.51m ,  0.010,   0.009,   -1.0
 ArII   6.985m ,  0.146,   0.145,   -0.4
 FeII   1.643m ,  2.677,   2.668,   -0.3
 FeII   17.93m ,  1.079,   1.075,   -0.4
 NiII   6.636m ,  0.241,   0.240,   -0.4
 Ltot          , 481.00,  475.29,   -1.2
 MV 5.2 Shock Test 05: 800km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e4 4861 ,  2.687,   2.643,   -1.6
 Lya      1215 , 78.895,  80.104,    1.5
 HeI      5876 ,  0.039,   0.040,    1.5
 HeII     4686 ,  0.380,   0.374,   -1.7
 CII      2326 ,  0.911,   0.928,    1.9
 CIII     1909 ,  6.043,   6.151,    1.8
 CIV      1549 , 23.635,  23.480,   -0.7
 NI       5200 ,  0.540,   0.549,    1.6
 NII      5755 ,  0.028,   0.029,    2.6
 NII      6548 ,  0.529,   0.541,    2.2
 NII      6584 ,  1.557,   1.591,    2.2
 NIII     1749 ,  0.234,   0.239,    1.9
 NIV      1485 ,  1.433,   1.418,   -1.1
 OI       6300 ,  1.927,   1.965,    1.9
 OII      3727 ,  1.867,   1.927,    3.2
 OII      7319 ,  0.024,   0.025,    3.7
 OII      7330 ,  0.019,   0.020,    3.7
 OIII     1663 ,  1.190,   1.197,    0.6
 OIII     4363 ,  0.360,   0.362,    0.8
 OIII     4959 ,  3.871,   3.913,    1.1
 OIII     5007 , 11.188,  11.312,    1.1
 OIV    25.89m ,  4.820,   4.826,    0.1
 NeII   12.81m ,  0.255,   0.259,    1.6
 NeIII  15.55m ,  1.043,   1.061,    1.7
 NeIV     2423 ,  1.274,   1.274,    0.0
 MgII     2798 ,  2.203,   2.245,    1.9
 SiIII    1892 ,  0.342,   0.351,    2.5
 SiIII    2335 ,  0.409,   0.419,    2.6
 SiIII  18.71m ,  0.708,   0.721,    1.8
 SiIV     1397 ,  0.521,   0.526,    1.0
 SII      6716 ,  0.379,   0.385,    1.6
 SII      6731 ,  0.261,   0.265,    1.6
 SIII     6312 ,  0.046,   0.047,    2.3
 SIII     9069 ,  0.547,   0.557,    2.0
 SIII     9531 ,  1.373,   1.400,    2.0
 SIV    10.51m ,  0.301,   0.305,    1.4
 ArII   6.985m ,  0.054,   0.054,    1.6
 FeII   1.643m ,  1.323,   1.346,    1.8
 FeII   17.93m ,  0.338,   0.343,    1.7
 NiII   6.636m ,  0.088,   0.090,    1.7
 Ltot          , 428.93,  426.02,   -0.7
 MV 5.2 Shock Test 05: 800km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 23.446,  23.384,   -0.3
 XHIPre 1E-4   ,  2.913,   2.952,    1.4
 TShock  MK    ,  8.752,   8.752,    0.0
 Mach Number   , 34.520,  34.567,    0.1
 Alfven Mach   , 692.52,  692.52,    0.0
 R4   E19cm    , 27.616,  27.551,   -0.2
 R3   E19cm    , 27.633,  27.568,   -0.2
 nH post       ,  3.990,   3.990,    0.0
 nH4           , 875.49,  876.87,    0.2
 nH3           , 926.47,  926.41,   -0.0
 menzel.local
 2.589u 0.051s 0:02.65 99.2%
