 menzel.local
 145.791u 0.208s 2:26.09 99.9%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 OII      3727 ,  1.567,   1.567,    0.0
 OII      7319 ,  0.027,   0.027,    0.0
 OII      7330 ,  0.022,   0.022,   -0.0
 OIII     1663 ,  0.491,   0.491,    0.0
 OIII     4363 ,  0.220,   0.220,    0.0
 OIII     4959 ,  4.038,   4.038,    0.0
 OIII     5007 , 11.673,  11.673,    0.0
 OIV    25.89m , 17.504,  17.504,    0.0
 NeII   12.81m ,  0.080,   0.080,    0.0
 NeIII  15.55m ,  0.622,   0.622,    0.0
 NeIV     2423 ,  1.335,   1.335,   -0.0
 MgII     2798 ,  0.672,   0.672,    0.0
 SiIII    1892 ,  1.025,   1.025,    0.0
 SiIII    2335 ,  0.241,   0.241,    0.0
 SiIII  18.71m ,  0.509,   0.509,    0.0
 SiIV     1397 ,  0.712,   0.712,    0.0
 SII      6716 ,  0.078,   0.078,    0.0
 SII      6731 ,  0.054,   0.054,    0.0
 SIII     6312 ,  0.062,   0.062,    0.0
 SIII     9069 ,  0.484,   0.484,    0.0
 SIII     9531 ,  1.215,   1.215,    0.0
 SIV    10.51m ,  2.889,   2.889,    0.0
 ArII   6.985m ,  0.017,   0.017,    0.0
 FeII   1.643m ,  0.318,   0.318,    0.0
 FeII   17.93m ,  0.090,   0.090,    0.0
 NiII   6.636m ,  0.026,   0.026,    0.0
 Ltot          , 483.51,  483.51,    0.0
 MV 5.2 Shock Test 04: 400km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 12.985,  12.985,    0.0
 XHIPre 1E-3   ,  1.384,   1.383,    0.0
 TShock  MK    ,  2.199,   2.199,    0.0
 Mach Number   ,  23.22,  23.220,    0.0
 Alfven Mach   , 346.26,  346.26,    0.0
 R4   E17cm    , 116.85,  116.85,    0.0
 R3   E17cm    , 117.70,  117.70,    0.0
 nH post       ,  3.978,   3.978,    0.0
 nH4           , 393.43,  393.43,    0.0
 nH3           , 445.10,  445.10,    0.0
 menzel.local
 1566.383u 0.941s 29:49.39 87.5%
 MV 5.2 Shock Test 05: 800km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  6.673,   6.673,    0.0
 Lya      1215 , 33.888,  33.888,    0.0
 HeI      5876 ,  0.216,   0.216,    0.0
 HeII     4686 ,  0.203,   0.203,    0.0
 CII      2326 ,  1.129,   1.129,   -0.0
 CIII     1909 ,  0.640,   0.640,    0.0
 CIV      1549 ,  0.666,   0.666,    0.0
 NI       5200 ,  0.525,   0.525,    0.0
 NII      5755 ,  0.046,   0.046,    0.0
 NII      6548 ,  1.165,   1.165,    0.0
 NII      6584 ,  3.426,   3.426,    0.0
 NIII     1749 ,  0.042,   0.042,    0.0
 NIV      1485 ,  0.058,   0.058,    0.0
 OI       6300 ,  2.057,   2.057,    0.0
 OII      3727 ,  7.303,   7.303,    0.0
 OII      7319 ,  0.109,   0.109,    0.0
 OII      7330 ,  0.088,   0.088,    0.0
 OIII     1663 ,  0.182,   0.182,    0.0
 OIII     4363 ,  0.030,   0.030,    0.0
 OIII     4959 ,  0.158,   0.158,    0.0
 OIII     5007 ,  0.455,   0.455,    0.0
 OIV      1400 ,  0.161,   0.161,    0.0
 OIV      1406 ,  0.168,   0.168,    0.0
 OIV    25.89m ,  0.028,   0.028,    0.0
 NeII   12.81m ,  0.938,   0.938,    0.0
 NeIII  15.55m ,  2.092,   2.092,    0.0
 NeIV     2423 ,  0.120,   0.120,    0.0
 NeVI   7.652m ,  0.022,   0.022,    0.0
 MgII     2798 ,  3.659,   3.659,    0.0
 MgVI     1806 ,  0.081,   0.081,    0.0
 SiIII    1892 ,  0.099,   0.099,    0.0
 SiIII    2335 ,  0.413,   0.413,   -0.0
 SiIII  18.71m ,  1.628,   1.628,    0.0
 SiIV     1397 ,  0.068,   0.068,    0.0
 SII      6716 ,  1.863,   1.863,    0.0
 SII      6731 ,  1.776,   1.776,    0.0
 SIII     6312 ,  0.037,   0.037,    0.0
