 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 2.00 Teff 50.00 logg 4.00 R/R0 9.80 R 6.8160E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 2.02518850E+02 2.60107880E-07
 2.02520900E+02 2.61098530E-07
 2.02523260E+02 2.62237070E-07
 2.02894750E+02 3.67863240E-07
 2.03266930E+02 5.26822790E-07
 2.03639780E+02 2.44766490E-08
 2.04013320E+02 2.67534080E-08
 2.04387550E+02 4.03570860E-08
 2.04762460E+02 2.16472900E-07
 2.05138060E+02 7.90236540E-09
 2.05514340E+02 4.69061130E-09
 2.05891320E+02 2.13811010E-08
 2.06268990E+02 3.42931300E-09
 2.06647350E+02 1.33994500E-09
 2.06664650E+02 3.46346980E-09
 2.07026410E+02 4.88895140E-08
 2.07406160E+02 3.17259210E-07
 2.07786610E+02 7.59959560E-07
 2.08167760E+02 1.70354980E-06
 2.08549600E+02 2.67923380E-06
 2.08932150E+02 3.94669200E-06
 2.09315390E+02 4.27500360E-06
 2.09699340E+02 3.73877740E-06
 2.10084000E+02 2.36662260E-07
 2.10469360E+02 4.99578010E-06
 2.10855420E+02 1.07574350E-05
 2.10983730E+02 7.24679170E-06
 2.10985950E+02 7.18543830E-06
 2.11242200E+02 1.77149560E-08
 2.11629680E+02 6.99412940E-09
 2.12017880E+02 4.51854170E-09
 2.12406790E+02 9.26069130E-09
 2.12796410E+02 3.74193120E-08
 2.13186740E+02 2.01680870E-07
 2.13577790E+02 2.77166750E-07
 2.13969560E+02 6.19267280E-07
 2.14362050E+02 1.10190800E-07
 2.14755260E+02 4.30065050E-07
 2.15147970E+02 2.12314940E-06
 2.15149190E+02 2.12852610E-06
 2.15543840E+02 4.27889570E-06
 2.15939210E+02 7.80183110E-06
 2.16335310E+02 9.42598720E-06
 2.16732140E+02 1.55651940E-05
 2.17129700E+02 1.06872180E-05
 2.17527980E+02 8.67816540E-06
 2.17926990E+02 9.32104620E-06
 2.18326740E+02 9.73010230E-06
 2.18727220E+02 2.76279710E-06
 2.19128440E+02 2.65305190E-06
 2.19479890E+02 4.57480980E-06
 2.19482300E+02 4.54876530E-06
 2.19530390E+02 4.81481100E-06
 2.19933070E+02 6.84490630E-06
 2.20336500E+02 1.42019640E-07
 2.20740670E+02 2.01709390E-06
 2.21145570E+02 6.12627140E-06
 2.21382200E+02 7.62545830E-06
 2.21551220E+02 8.71796010E-06
 2.21957620E+02 1.25581900E-05
 2.22364760E+02 1.20553070E-05
 2.22772650E+02 1.05870880E-05
 2.23181280E+02 3.12805910E-06
 2.23317770E+02 3.46096620E-06
 2.23320260E+02 3.46708910E-06
 2.23590670E+02 4.13984760E-06
 2.24000800E+02 3.53196160E-06
 2.24411690E+02 2.24685410E-06
 2.24823330E+02 2.93959480E-06
 2.25139830E+02 4.26789760E-06
 2.25235730E+02 4.67842540E-06
 2.25648880E+02 2.58199230E-06
 2.26062790E+02 1.37993180E-06
 2.26477460E+02 1.80008810E-06
 2.26892890E+02 3.73928700E-06
 2.26991880E+02 4.43844410E-06
 2.26994450E+02 4.45673040E-06
 2.27309090E+02 6.72431070E-06
 2.27607100E+02 8.40028810E-06
 2.27609690E+02 8.41506180E-06
 2.27726040E+02 9.08236330E-06
 2.27837820E+02 6.72607410E-06
 2.27840410E+02 1.08802350E-05
 2.28143760E+02 1.09242780E-05
 2.28562250E+02 8.82177680E-06
 2.28981500E+02 5.23628050E-06
 2.29401530E+02 3.01053990E-06
 2.29822320E+02 1.54959340E-05
 2.30243890E+02 2.00593560E-05
 2.30666230E+02 3.57851560E-05
 2.30721440E+02 3.38574130E-05
 2.31089340E+02 2.09630090E-05
 2.31513230E+02 1.76995590E-05
 2.31937900E+02 6.89388720E-06
 2.32363350E+02 9.73498100E-06
 2.32789580E+02 1.36284430E-05
 2.33216590E+02 1.69931210E-05
 2.33644380E+02 1.32057000E-05
 2.33678980E+02 1.33196520E-05
 2.33681710E+02 1.33339220E-05
 2.34072960E+02 1.46271860E-05
 2.34502320E+02 1.90563260E-05
 2.34932470E+02 1.92361650E-05
 2.35363410E+02 3.44890210E-05
 2.35795140E+02 1.28542370E-07
 2.36227660E+02 6.83954530E-08
 2.36660980E+02 3.05126950E-07
 2.37095090E+02 1.12699150E-06
