 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  3.0000E+07 M_0            L  :  2.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 2.50440875E-06 8.36056967E-09  52708131.      52704770.      21.421887      3339.7124    
 2.52118589E-06 8.41657750E-09  53759509.      53756081.      21.993608      3405.5099    
 2.53807543E-06 8.47296053E-09  54863227.      54859731.      22.606931      3473.7129    
 2.55507811E-06 8.52972128E-09  55946025.      55942460.      23.200667      3542.2497    
 2.57219470E-06 8.58686227E-09  57086096.      57082455.      23.840413      3617.0382    
 2.58942595E-06 8.64438604E-09  58233375.      58229659.      24.484242      3691.6113    
 2.60677263E-06 8.70229518E-09  59386552.      59382762.      25.130627      3765.6356    
 2.62423551E-06 8.76059224E-09  60613925.      60610055.      25.838638      3843.3664    
 2.64181539E-06 8.81927985E-09  61810075.      61806130.      26.517329      3918.1468    
 2.65951303E-06 8.87836060E-09  63060670.      63056647.      27.240844      3995.4716    
 2.67732922E-06 8.93783714E-09  64336668.      64332563.      27.984337      4076.7886    
 2.69526477E-06 8.99771211E-09  65605957.      65601768.      28.719108      4160.0702    
 2.71332047E-06 9.05798819E-09  66961628.      66957350.      29.528207      4248.3197    
 2.73149713E-06 9.11866806E-09  68287535.      68283171.      30.308085      4333.3070    
 2.74979555E-06 9.17975443E-09  69659290.      69654839.      31.126257      4420.1989    
 2.76821656E-06 9.24125002E-09  71078335.      71073794.      31.984737      4508.8050    
 2.78676096E-06 9.30315757E-09  72480441.      72475813.      32.824643      4595.5827    
 2.80542960E-06 9.36547984E-09  73967613.      73962888.      33.739866      4690.8864    
 2.82422330E-06 9.42821962E-09  75442390.      75437567.      34.640695      4787.8831    
 2.84314290E-06 9.49137968E-09  76946948.      76942027.      35.565814      4885.6680    
 2.86218924E-06 9.55496287E-09  78524952.      78519928.      36.556949      4986.8878    
 2.88136318E-06 9.61897199E-09  80073743.      80068621.      37.517030      5084.9145    
 2.90066556E-06 9.68340992E-09  81705068.      81699842.      38.552197      5186.7969    
 2.92009725E-06 9.74827952E-09  83345283.      83339955.      39.592605      5288.4943    
 2.93965911E-06 9.81358368E-09  84995391.      84989956.      40.638542      5394.8098    
 2.95935202E-06 9.87932532E-09  86750016.      86744464.      41.782697      5510.4268    
 2.97917685E-06 9.94550737E-09  88460793.      88455129.      42.880146      5621.4240    
 2.99913449E-06 1.00121328E-08  90250135.      90244355.      44.050863      5736.2001    
 3.01922583E-06 1.00792045E-08  92074202.      92068305.      45.252328      5851.5631    
 3.03945176E-06 1.01467255E-08  93889477.      93883465.      46.440456      5965.0448    
 3.05981319E-06 1.02146989E-08  95828968.      95822835.      47.749627      6085.4958    
 3.08031101E-06 1.02831276E-08  97724314.      97718057.      49.009856      6208.5986    
 3.10094616E-06 1.03520148E-08  99686852.      99680464.      50.333740      6337.6548    
 3.12171953E-06 1.04213634E-08 1.01715208E+08 1.01708687E+08  51.721025      6469.4157    
 3.14263207E-06 1.04911766E-08 1.03720254E+08 1.03713603E+08  53.079149      6597.9142    
 3.16368471E-06 1.05614574E-08 1.05847701E+08 1.05840914E+08  54.560038      6732.4843    
 3.18487837E-06 1.06322091E-08 1.07955628E+08 1.07948708E+08  56.015721      6864.0589    
 3.20621402E-06 1.07034348E-08 1.10107974E+08 1.10100918E+08  57.512659      6998.3986    
 3.22769259E-06 1.07751376E-08 1.12363302E+08 1.12356098E+08  59.114314      7145.6007    
 3.24931505E-06 1.08473207E-08 1.14577895E+08 1.14570543E+08  60.666755      7291.0343    
 3.27108236E-06 1.09199874E-08 1.16911362E+08 1.16903857E+08  62.341724      7442.6784    
 3.29299549E-06 1.09931409E-08 1.19255517E+08 1.19247860E+08  64.022962      7592.8250    
 3.31505541E-06 1.10667844E-08 1.21615879E+08 1.21608071E+08  65.715398      7742.2171    
 3.33726312E-06 1.11409213E-08 1.24123355E+08 1.24115389E+08  67.564335      7898.5548    
 3.35961959E-06 1.12155548E-08 1.26569311E+08 1.26561189E+08  69.338891      8052.2307    
 3.38212584E-06 1.12906884E-08 1.29128575E+08 1.29120285E+08  71.233190      8219.6153    
 3.40478285E-06 1.13663252E-08 1.31735200E+08 1.31726736E+08  73.174692      8391.0711    
 3.42759164E-06 1.14424687E-08 1.34330413E+08 1.34321779E+08  75.095866      8559.5120    
 3.45055323E-06 1.15191223E-08 1.37104144E+08 1.37095329E+08  77.214147      8737.2981    
 3.47366865E-06 1.15962894E-08 1.39812511E+08 1.39803523E+08  79.250555      8908.5166    
 3.49693891E-06 1.16739735E-08 1.42619223E+08 1.42610058E+08  81.392692      9083.7634    
