 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  1.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 3.38212584E-06 1.12906884E-08 8.74225961E+08 8.74162836E+08  2054.2337      61070.592    
 3.40478285E-06 1.13663252E-08 8.91797219E+08 8.91732798E+08  2110.2046      62311.013    
 3.42759164E-06 1.14424687E-08 9.09293352E+08 9.09227655E+08  2165.5896      63531.145    
 3.45055323E-06 1.15191223E-08 9.27983208E+08 9.27916165E+08  2226.6549      64815.885    
 3.47366865E-06 1.15962894E-08 9.46237506E+08 9.46169141E+08  2285.3606      66079.492    
 3.49693891E-06 1.16739735E-08 9.65149937E+08 9.65080149E+08  2347.1130      67441.178    
 3.52036506E-06 1.17521780E-08 9.84674446E+08 9.84603176E+08  2411.7369      68857.969    
 3.54394814E-06 1.18309064E-08 1.00398649E+09 1.00391378E+09  2475.0425      70239.431    
 3.56768921E-06 1.19101621E-08 1.02447478E+09 1.02440055E+09  2544.1139      71687.949    
 3.59158932E-06 1.19899488E-08 1.04476107E+09 1.04468535E+09  2611.9206      73102.156    
 3.61564954E-06 1.20702701E-08 1.06548976E+09 1.06541255E+09  2681.7416      74530.191    
 3.63987094E-06 1.21511293E-08 1.08718209E+09 1.08710330E+09  2756.3471      76038.280    
 3.66425460E-06 1.22325303E-08 1.10849739E+09 1.10841698E+09  2828.7058      77580.771    
 3.68880161E-06 1.23144766E-08 1.13095529E+09 1.13087317E+09  2906.8253      79212.748    
 3.71351306E-06 1.23969718E-08 1.15349717E+09 1.15341336E+09  2985.1338      80826.625    
 3.73839005E-06 1.24800197E-08 1.17621474E+09 1.17612925E+09  3064.0693      82433.417    
 3.76343369E-06 1.25636239E-08 1.20031292E+09 1.20022565E+09  3150.1879      84114.843    
 3.78864510E-06 1.26477882E-08 1.22383790E+09 1.22374893E+09  3232.8941      85737.705    
 3.81402541E-06 1.27325163E-08 1.24845253E+09 1.24836175E+09  3321.2381      87456.061    
 3.83957574E-06 1.28178120E-08 1.27349784E+09 1.27340514E+09  3411.6637      89281.112    
 3.86529723E-06 1.29036791E-08 1.29844743E+09 1.29835284E+09  3501.1998      91091.651    
 3.89119103E-06 1.29901214E-08 1.32510592E+09 1.32500931E+09  3599.9826      93005.282    
 3.91725829E-06 1.30771428E-08 1.35112317E+09 1.35102463E+09  3694.8236      94844.945    
 3.94350018E-06 1.31647472E-08 1.37809940E+09 1.37799887E+09  3794.7203      96730.164    
 3.96991787E-06 1.32529384E-08 1.40592269E+09 1.40582014E+09  3899.1247      98650.184    
 3.99651253E-06 1.33417205E-08 1.43345630E+09 1.43335172E+09  4001.4642      100584.16    
 4.02328535E-06 1.34310972E-08 1.46267479E+09 1.46256795E+09  4113.1974      102724.99    
 4.05023752E-06 1.35210728E-08 1.49158195E+09 1.49147291E+09  4222.7408      104823.95    
 4.07737024E-06 1.36116511E-08 1.52114380E+09 1.52103252E+09  4335.6893      106945.75    
