 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :   1.000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.81769784E-06 6.06809470E-09 4.44203532E+08 4.44198168E+08  7.9238640      5356.0985    
 1.82987468E-06 6.10874514E-09 4.53429551E+08 4.53424071E+08  8.1475721      5471.7905    
 1.84213310E-06 6.14966790E-09 4.62407600E+08 4.62402003E+08  8.3616200      5587.9061    
 1.85447363E-06 6.19086481E-09 4.71784233E+08 4.71778515E+08  8.5893454      5708.6729    
 1.86689683E-06 6.23233769E-09 4.81377363E+08 4.81371523E+08  8.8242830      5830.5133    
 1.87940326E-06 6.27408840E-09 4.90906924E+08 4.90900965E+08  9.0560213      5949.8053    
 1.89199346E-06 6.31611880E-09 5.01075998E+08 5.01069913E+08  9.3107038      6075.6734    
 1.90466801E-06 6.35843077E-09 5.11045931E+08 5.11039724E+08  9.5571590      6197.6043    
 1.91742747E-06 6.40102618E-09 5.21335230E+08 5.21328893E+08  9.8146793      6326.8120    
 1.93027240E-06 6.44390694E-09 5.32009319E+08 5.32002844E+08  10.085954      6465.4110    
 1.94320339E-06 6.48707497E-09 5.42541091E+08 5.42534481E+08  10.350858      6600.4739    
 1.95622099E-06 6.53053217E-09 5.53701377E+08 5.53694625E+08  10.638948      6742.2342    
 1.96932581E-06 6.57428050E-09 5.64796504E+08 5.64789613E+08  10.923628      6880.9417    
 1.98251841E-06 6.61832191E-09 5.76086720E+08 5.76079689E+08  11.214813      7020.3890    
 1.99579939E-06 6.66265834E-09 5.87962819E+08 5.87955642E+08  11.528008      7165.8105    
 2.00916934E-06 6.70729179E-09 5.99602092E+08 5.99594768E+08  11.830824      7312.7100    
 2.02262885E-06 6.75222424E-09 6.11849591E+08 6.11842107E+08  12.156673      7471.6946    
 2.03617854E-06 6.79745770E-09 6.24196099E+08 6.24188456E+08  12.485465      7630.0696    
 2.04981899E-06 6.84299417E-09 6.36583956E+08 6.36576156E+08  12.814680      7786.8603    
 2.06355082E-06 6.88883570E-09 6.49796616E+08 6.49788651E+08  13.176234      7952.1633    
 2.07737464E-06 6.93498432E-09 6.62659731E+08 6.62651607E+08  13.522387      8110.6751    
 2.09129106E-06 6.98144209E-09 6.76099658E+08 6.76091369E+08  13.890908      8275.3069    
 2.10530072E-06 7.02821109E-09 6.89837794E+08 6.89829330E+08  14.270601      8449.8750    
 2.11940422E-06 7.07529339E-09 7.03490832E+08 7.03482190E+08  14.645363      8626.5653    
 2.13360221E-06 7.12269110E-09 7.18066053E+08 7.18057224E+08  15.057500      8813.8245    
 2.14789530E-06 7.17040633E-09 7.32343529E+08 7.32334519E+08  15.455798      8994.1625    
 2.16228415E-06 7.21844121E-09 7.47091232E+08 7.47082038E+08  15.872538      9178.3203    
 2.17676939E-06 7.26679787E-09 7.62376868E+08 7.62367485E+08  16.310960      9366.5572    
 2.19135167E-06 7.31547848E-09 7.77465261E+08 7.77455692E+08  16.739356      9551.6020    
 2.20603163E-06 7.36448520E-09 7.93460721E+08 7.93450948E+08  17.205557      9755.6892    
 2.22080994E-06 7.41382021E-09 8.09348998E+08 8.09339019E+08  17.665634      9961.5579    
 2.23568724E-06 7.46348573E-09 8.25530884E+08 8.25520697E+08  18.136853      10168.704    
 2.25066421E-06 7.51348396E-09 8.42537262E+08 8.42526859E+08  18.643030      10383.747    
 2.26574151E-06 7.56381713E-09 8.59211755E+08 8.59201144E+08  19.132736      10591.513    
 2.28091982E-06 7.61448748E-09 8.76764942E+08 8.76754115E+08  19.660042      10807.529    
 2.29619980E-06 7.66549727E-09 8.94444564E+08 8.94433518E+08  20.191413      11024.867    
 2.31158215E-06 7.71684879E-09 9.12199150E+08 9.12187878E+08  20.724180      11251.887    
 2.32706754E-06 7.76854430E-09 9.31118779E+08 9.31107260E+08  21.308515      11497.705    
 2.34265667E-06 7.82058613E-09 9.49545912E+08 9.49534157E+08  21.868304      11732.953    
 2.35835023E-06 7.87297659E-09 9.68807543E+08 9.68795545E+08  22.464667      11976.193    
 2.37414893E-06 7.92571802E-09 9.88479195E+08 9.88466951E+08  23.078306      12221.108    
 2.39005346E-06 7.97881276E-09 1.00803750E+09 1.00802501E+09  23.684359      12461.636    
 2.40606454E-06 8.03226319E-09 1.02892529E+09 1.02891254E+09  24.351292      12718.486    
 2.42218287E-06 8.08607168E-09 1.04936881E+09 1.04935580E+09  24.994982      12981.958    
 2.43840918E-06 8.14024064E-09 1.07050406E+09 1.07049077E+09  25.669380      13255.669    
 2.45474420E-06 8.19477248E-09 1.09239075E+09 1.09237719E+09  26.377937      13535.420    
 2.47118864E-06 8.24966963E-09 1.11400445E+09 1.11399061E+09  27.070725      13807.756    
 2.48774324E-06 8.30493454E-09 1.13692686E+09 1.13691274E+09  27.825149      14093.021    
 2.50440875E-06 8.36056967E-09 1.15967594E+09 1.15966154E+09  28.568685      14372.202    
 2.52118589E-06 8.41657750E-09 1.18286580E+09 1.18285111E+09  29.331251      14658.081    
 2.53807543E-06 8.47296053E-09 1.20721537E+09 1.20720036E+09  30.149314      14973.810    
 2.55507811E-06 8.52972128E-09 1.23110018E+09 1.23108487E+09  30.941249      15282.160    
 2.57219470E-06 8.58686227E-09 1.25625410E+09 1.25623846E+09  31.794561      15603.500    
 2.58942595E-06 8.64438604E-09 1.28156706E+09 1.28155111E+09  32.653323      15922.132    
 2.60677263E-06 8.70229518E-09 1.30700989E+09 1.30699362E+09  33.515494      16238.504    
 2.62423551E-06 8.76059224E-09 1.33409769E+09 1.33408108E+09  34.459878      16570.457    
 2.64181539E-06 8.81927985E-09 1.36049193E+09 1.36047500E+09  35.365149      16898.468    
 2.65951303E-06 8.87836060E-09 1.38809313E+09 1.38807584E+09  36.330217      17256.099    
 2.67732922E-06 8.93783714E-09 1.41625704E+09 1.41623938E+09  37.321939      17619.989    
 2.69526477E-06 8.99771211E-09 1.44427086E+09 1.44425285E+09  38.302026      17976.973    
 2.71332047E-06 9.05798819E-09 1.47420088E+09 1.47418249E+09  39.381273      18353.777    
 2.73149713E-06 9.11866806E-09 1.50346921E+09 1.50345045E+09  40.421537      18716.996    
 2.74979555E-06 9.17975443E-09 1.53375414E+09 1.53373501E+09  41.512891      19088.232    
 2.76821656E-06 9.24125002E-09 1.56508794E+09 1.56506842E+09  42.658021      19480.036    
 2.78676096E-06 9.30315757E-09 1.59604445E+09 1.59602452E+09  43.778372      19881.018    
 2.80542960E-06 9.36547984E-09 1.62888868E+09 1.62886833E+09  44.999206      20305.629    
 2.82422330E-06 9.42821962E-09 1.66145640E+09 1.66143563E+09  46.200838      20720.093    
 2.84314290E-06 9.49137968E-09 1.69468424E+09 1.69466305E+09  47.434876      21137.917    
 2.86218924E-06 9.55496287E-09 1.72954239E+09 1.72952077E+09  48.756992      21570.118    
 2.88136318E-06 9.61897199E-09 1.76375021E+09 1.76372817E+09  50.037678      21989.782    
 2.90066556E-06 9.68340992E-09 1.79979046E+09 1.79976797E+09  51.418542      22442.151    
 2.92009725E-06 9.74827952E-09 1.83602699E+09 1.83600403E+09  52.806399      22912.886    
 2.93965911E-06 9.81358368E-09 1.87248169E+09 1.87245825E+09  54.201635      23382.796    
 2.95935202E-06 9.87932532E-09 1.91125803E+09 1.91123410E+09  55.727913      23876.702    
 2.97917685E-06 9.94550737E-09 1.94905817E+09 1.94903376E+09  57.191879      24351.119    
 2.99913449E-06 1.00121328E-08 1.98860332E+09 1.98857842E+09  58.753599      24841.332    
 3.01922583E-06 1.00792045E-08 2.02891912E+09 2.02889373E+09  60.356346      25336.045    
 3.03945176E-06 1.01467255E-08 2.06903762E+09 2.06901172E+09  61.941300      25841.638    
 3.05981319E-06 1.02146989E-08 2.11191718E+09 2.11189071E+09  63.687755      26400.271    
 3.08031101E-06 1.02831276E-08 2.15381300E+09 2.15378599E+09  65.368912      26939.257    
 3.10094616E-06 1.03520148E-08 2.19720155E+09 2.19717399E+09  67.135002      27491.175    
 3.12171953E-06 1.04213634E-08 2.24205277E+09 2.24202465E+09  68.985688      28053.801    
 3.14263207E-06 1.04911766E-08 2.28638333E+09 2.28635466E+09  70.797467      28603.020    
 3.16368471E-06 1.05614574E-08 2.33343597E+09 2.33340671E+09  72.773050      29180.501    
 3.18487837E-06 1.06322091E-08 2.38005231E+09 2.38002246E+09  74.715004      29772.429    
 3.20621402E-06 1.07034348E-08 2.42765514E+09 2.42762467E+09  76.712005      30391.429    
 3.22769259E-06 1.07751376E-08 2.47754858E+09 2.47751747E+09  78.848734      31034.278    
 3.24931505E-06 1.08473207E-08 2.52653274E+09 2.52650101E+09  80.919798      31656.174    
 3.27108236E-06 1.09199874E-08 2.57816183E+09 2.57812944E+09  83.154357      32303.639    
 3.29299549E-06 1.09931409E-08 2.63002685E+09 2.62999382E+09  85.397283      32945.036    
