 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  0.2000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 2.71332047E-06 9.05798819E-09 9.74550163E+08 9.74483122E+08  682.72088      66358.616    
 2.73149713E-06 9.11866806E-09 9.93872364E+08 9.93803952E+08  700.75247      67710.533    
 2.74979555E-06 9.17975443E-09 1.01386419E+09 1.01379436E+09  719.66947      69116.621    
 2.76821656E-06 9.24125002E-09 1.03454676E+09 1.03447547E+09  739.51846      70551.796    
 2.78676096E-06 9.30315757E-09 1.05498138E+09 1.05490867E+09  758.93796      71950.932    
 2.80542960E-06 9.36547984E-09 1.07665882E+09 1.07658462E+09  780.09890      73415.398    
 2.82422330E-06 9.42821962E-09 1.09815466E+09 1.09807901E+09  800.92703      74848.600    
 2.84314290E-06 9.49137968E-09 1.12008538E+09 1.12000824E+09  822.31677      76316.521    
 2.86218924E-06 9.55496287E-09 1.14308943E+09 1.14301065E+09  845.23289      77934.074    
 2.88136318E-06 9.61897199E-09 1.16566600E+09 1.16558562E+09  867.43099      79518.190    
 2.90066556E-06 9.68340992E-09 1.18944872E+09 1.18936666E+09  891.36519      81168.462    
 2.92009725E-06 9.74827952E-09 1.21336099E+09 1.21327727E+09  915.42055      82803.968    
 2.93965911E-06 9.81358368E-09 1.23741731E+09 1.23733194E+09  939.60374      84429.896    
 2.95935202E-06 9.87932532E-09 1.26300138E+09 1.26291428E+09  966.05785      86132.633    
 2.97917685E-06 9.94550737E-09 1.28794382E+09 1.28785501E+09  991.43209      87816.129    
 2.99913449E-06 1.00121328E-08 1.31403473E+09 1.31394406E+09  1018.5003      89651.283    
 3.01922583E-06 1.00792045E-08 1.34063302E+09 1.34054046E+09  1046.2795      91518.904    
 3.03945176E-06 1.01467255E-08 1.36710212E+09 1.36700770E+09  1073.7504      93352.967    
 3.05981319E-06 1.02146989E-08 1.39538755E+09 1.39529116E+09  1104.0198      95287.685    
 3.08031101E-06 1.02831276E-08 1.42302660E+09 1.42292832E+09  1133.1577      97152.803    
 3.10094616E-06 1.03520148E-08 1.45164786E+09 1.45154764E+09  1163.7674      99060.080    
 3.12171953E-06 1.04213634E-08 1.48123149E+09 1.48112923E+09  1195.8430      101068.31    
 3.14263207E-06 1.04911766E-08 1.51047354E+09 1.51036918E+09  1227.2443      103126.73    
 3.16368471E-06 1.05614574E-08 1.54150584E+09 1.54139928E+09  1261.4842      105307.54    
 3.18487837E-06 1.06322091E-08 1.57225192E+09 1.57214319E+09  1295.1412      107435.49    
 3.20621402E-06 1.07034348E-08 1.60364719E+09 1.60353628E+09  1329.7521      109582.59    
 3.22769259E-06 1.07751376E-08 1.63654874E+09 1.63643557E+09  1366.7842      111800.49    
 3.24931505E-06 1.08473207E-08 1.66885337E+09 1.66873801E+09  1402.6783      113956.30    
 3.27108236E-06 1.09199874E-08 1.70289714E+09 1.70277942E+09  1441.4055      116276.77    
 3.29299549E-06 1.09931409E-08 1.73709676E+09 1.73697659E+09  1480.2777      118692.11    
 3.31505541E-06 1.10667844E-08 1.77153278E+09 1.77141015E+09  1519.4087      121107.27    
 3.33726312E-06 1.11409213E-08 1.80812162E+09 1.80799642E+09  1562.1583      123641.73    
 3.35961959E-06 1.12155548E-08 1.84380897E+09 1.84368129E+09  1603.1881      126079.10    
 3.38212584E-06 1.12906884E-08 1.88115422E+09 1.88102398E+09  1646.9865      128597.59    
 3.40478285E-06 1.13663252E-08 1.91919206E+09 1.91905923E+09  1691.8762      131136.43    
 3.42759164E-06 1.14424687E-08 1.95706194E+09 1.95692647E+09  1736.2960      133730.02    
 3.45055323E-06 1.15191223E-08 1.99754522E+09 1.99740684E+09  1785.2731      136598.38    
 3.47366865E-06 1.15962894E-08 2.03707040E+09 2.03692921E+09  1832.3573      139366.01    
 3.49693891E-06 1.16739735E-08 2.07803487E+09 2.07789078E+09  1881.8860      142201.99    
 3.52036506E-06 1.17521780E-08 2.12033852E+09 2.12019149E+09  1933.7186      145089.93    
 3.54394814E-06 1.18309064E-08 2.16217223E+09 2.16202234E+09  1984.4937      147911.56    
 3.56768921E-06 1.19101621E-08 2.20658350E+09 2.20643058E+09  2039.8951      150876.60    
 3.59158932E-06 1.19899488E-08 2.25054793E+09 2.25039192E+09  2094.2818      153911.50    
 3.61564954E-06 1.20702701E-08 2.29547951E+09 2.29532027E+09  2150.2849      157091.92    
 3.63987094E-06 1.21511293E-08 2.34252359E+09 2.34236099E+09  2210.1271      160391.43    
